,Actual,Predicted
329,22.6,22.933928571428574
371,50.0,50.0
219,23.0,20.544000000000004
403,8.3,13.89130434782609
78,21.2,20.544000000000004
15,19.9,22.933928571428574
487,20.6,20.544000000000004
340,18.7,22.933928571428574
310,16.1,20.544000000000004
102,18.6,20.544000000000004
418,8.8,9.183333333333334
411,17.2,13.033333333333335
446,14.9,13.89130434782609
386,10.5,9.183333333333334
162,50.0,50.0
299,29.0,31.4
480,23.0,20.544000000000004
196,33.3,34.368750000000006
175,29.4,27.537499999999998
37,21.0,22.933928571428574
320,23.8,22.933928571428574
171,19.1,20.544000000000004
107,20.4,20.544000000000004
278,29.1,22.933928571428574
45,19.3,20.544000000000004
367,23.1,20.544000000000004
21,19.6,20.544000000000004
153,19.4,14.950000000000001
97,38.7,45.075
113,18.7,16.45882352941177
478,14.6,13.89130434782609
459,20.0,13.89130434782609
247,20.5,20.544000000000004
241,20.1,20.544000000000004
173,23.6,22.933928571428574
363,16.8,19.805263157894736
400,5.6,9.183333333333334
372,50.0,50.0
430,14.5,13.89130434782609
475,13.3,13.033333333333335
293,23.9,22.933928571428574
46,20.0,20.544000000000004
330,19.8,22.933928571428574
474,13.8,13.89130434782609
342,16.5,27.537499999999998
1,21.6,22.933928571428574
297,20.3,19.805263157894736
154,17.0,14.950000000000001
144,11.8,16.45882352941177
100,27.5,23.95555555555556
155,15.6,14.950000000000001
495,23.1,19.805263157894736
230,24.3,20.544000000000004
253,42.8,35.2
134,15.6,14.950000000000001
12,21.7,19.805263157894736
331,17.1,20.544000000000004
346,17.2,20.544000000000004
410,15.0,50.0
210,21.7,16.45882352941177
352,18.6,22.933928571428574
319,21.0,20.544000000000004
303,33.1,31.4
229,31.5,27.537499999999998
469,20.1,13.89130434782609
188,29.8,27.537499999999998
451,15.2,16.45882352941177
10,15.0,16.45882352941177
409,27.5,14.325
205,22.6,20.544000000000004
76,20.0,20.544000000000004
75,21.4,22.933928571428574
65,23.5,22.933928571428574
344,31.2,31.4
481,23.7,27.537499999999998
387,7.4,9.183333333333334
233,48.3,45.075
206,24.4,20.544000000000004
90,22.6,22.933928571428574
497,18.3,20.544000000000004
239,23.3,27.537499999999998
137,17.1,16.45882352941177
407,27.9,50.0
224,44.8,45.075
225,50.0,45.075
326,23.0,22.933928571428574
96,21.4,20.544000000000004
426,10.2,13.89130434782609
159,23.3,22.933928571428574
391,23.2,19.805263157894736
54,18.9,19.805263157894736
435,13.4,9.183333333333334
254,21.9,22.933928571428574
300,24.8,31.4
505,11.9,22.933928571428574
246,24.3,22.933928571428574
374,13.8,13.033333333333335
56,24.7,22.933928571428574
455,14.1,14.950000000000001
60,18.7,20.544000000000004
213,28.1,22.933928571428574
108,19.8,20.544000000000004
220,26.7,31.4
71,21.7,20.544000000000004
240,22.0,31.4
6,22.9,20.544000000000004
417,10.4,9.183333333333334
366,21.9,20.544000000000004
502,20.6,22.933928571428574
302,26.4,22.933928571428574
157,41.3,31.4
408,17.2,13.033333333333335
7,27.1,16.45882352941177
118,20.4,14.950000000000001
8,16.5,16.45882352941177
208,24.4,19.805263157894736
438,8.4,9.183333333333334
132,23.0,20.544000000000004
392,9.7,9.183333333333334
283,50.0,45.075
191,30.5,27.537499999999998
383,12.3,9.183333333333334
49,19.4,19.805263157894736
498,21.2,20.544000000000004
309,20.3,20.544000000000004
124,18.8,16.45882352941177
306,33.4,34.368750000000006
245,18.5,19.805263157894736
59,19.6,22.933928571428574
276,33.2,34.368750000000006
395,13.1,13.89130434782609
416,7.5,9.183333333333334
491,13.6,16.45882352941177
170,17.4,14.950000000000001
419,8.4,14.325
55,35.4,34.368750000000006
235,24.0,20.544000000000004
142,13.4,16.45882352941177
249,26.2,27.537499999999998
415,7.2,9.183333333333334
378,13.1,13.033333333333335
494,24.5,20.544000000000004
179,37.2,31.4
52,25.0,22.933928571428574
74,24.1,22.933928571428574
26,16.6,19.805263157894736
200,32.9,34.368750000000006
4,36.2,34.368750000000006
428,11.0,9.183333333333334
385,7.2,9.183333333333334
308,22.8,27.537499999999998
5,28.7,22.933928571428574
